Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B157_1,B157_2,B212_1,B212_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B262_1,B262_2,B264_1,B264_2
C4018,1014,276,276,122,128,163,163,203,205,161,169,213,213,170,185,335,343,187,187,317,317,239,239
C3980,1014,272,280,104,128,159,179,203,203,157,161,197,217,177,177,335,341,187,191,340,340,221,235
C3987,1014,260,272,104,128,163,177,205,217,167,167,205,240,177,183,335,341,179,189,317,334,221,235
C3988,1014,248,260,124,130,175,175,203,205,161,167,221,236,177,183,341,341,181,189,317,317,221,221
C3989,1014,280,280,122,122,165,171,197,203,160,160,213,213,183,183,333,341,177,187,317,317,210,210
C4011,1014,248,254,104,130,177,177,203,203,161,167,240,240,170,177,339,345,181,181,317,340,221,221
C4017,1014,248,258,104,124,163,179,203,203,164,167,217,240,177,177,341,343,169,187,317,317,239,239
C4296,1014,248,248,122,136,163,173,203,211,157,164,221,221,170,177,333,333,183,187,315,320,221,235
C4301,1014,254,254,104,104,167,167,209,209,166,166,0,0,177,177,333,339,169,183,325,325,221,223
C4303,1014,276,276,122,130,165,165,199,207,160,166,215,215,177,177,333,333,187,189,325,325,221,227
C4453,1014,254,254,104,130,165,175,203,203,157,166,217,219,177,187,333,339,183,187,330,330,221,239
C4455,1014,0,0,122,124,165,165,203,203,166,168,193,213,170,187,327,333,183,187,340,340,221,227
C4457,1014,0,0,104,104,163,171,207,211,160,166,235,239,177,183,327,327,169,183,317,325,221,227
C4459,1014,0,0,122,130,165,177,203,203,160,162,213,225,183,185,333,341,169,169,317,340,235,239
C4464,1014,0,0,120,122,0,0,203,203,157,160,239,239,179,181,333,333,183,189,317,340,221,239
C4468,1014,248,264,128,130,159,165,203,211,166,166,0,0,177,177,333,333,185,187,340,340,221,221
C4783,1014,276,280,124,130,155,165,194,203,167,167,213,213,177,181,341,343,169,187,317,317,227,243
C4786,1014,248,280,104,130,167,179,203,207,159,167,240,240,177,183,333,333,185,187,326,334,235,239
C4789,1014,278,278,104,124,167,177,203,203,157,157,0,0,177,181,341,343,169,191,336,342,221,239
C4891,1014,274,276,128,130,177,181,203,203,158,167,213,213,177,181,339,339,189,191,325,330,223,235
C4892,1014,248,280,104,122,167,167,203,207,158,167,0,0,179,183,343,343,189,191,325,330,221,223
C4901,1014,272,276,104,104,163,181,203,207,169,169,236,237,177,179,333,341,185,185,317,340,239,239
C4903,1014,276,280,104,122,165,179,207,207,157,169,0,0,177,177,333,339,169,187,317,342,221,227
C4904,1014,276,280,104,104,165,167,195,203,157,167,217,217,177,179,333,341,185,187,317,338,221,239
C3263,1014,260,276,128,132,163,175,205,219,160,166,227,239,183,193,327,339,183,183,317,317,221,239
C3271,1014,260,280,120,128,165,167,217,219,160,166,205,221,177,183,327,329,183,185,317,336,239,239
C3272,1014,276,280,128,128,167,177,209,217,160,166,241,261,170,177,329,333,169,169,315,318,221,235
C3276,1014,258,282,104,104,167,175,207,209,156,166,215,215,181,185,329,339,169,191,317,325,221,227
C3280,1014,258,276,124,130,163,163,205,217,166,166,221,229,183,189,0,0,183,189,315,340,235,239
C3305,1014,248,258,124,128,163,175,217,217,164,166,243,261,177,177,329,339,0,0,317,336,239,239
C3324,1014,248,248,136,136,163,163,203,205,166,166,261,261,179,189,329,337,189,189,317,317,235,239
C3329,1014,256,276,130,136,163,175,203,205,166,168,229,239,183,193,333,339,183,193,315,317,235,239
C3336,1014,248,280,104,128,163,167,203,217,160,166,241,261,170,177,333,339,169,183,318,340,235,235
C3341,1014,0,0,124,132,0,0,209,217,166,168,217,227,177,183,327,333,183,193,315,340,221,235
C3409,1014,248,254,130,132,161,187,205,211,160,166,217,259,177,177,0,0,181,183,0,0,221,221
C3168,1014,276,276,104,122,165,179,203,207,166,166,259,263,177,177,339,341,169,169,317,325,0,0
C3170,1014,254,276,104,104,155,167,207,207,166,166,217,239,179,183,333,333,185,191,317,317,221,239
C3214,1014,248,272,106,122,0,0,215,215,156,166,215,215,177,179,0,0,185,187,317,334,239,239
C3227,1014,272,278,104,122,167,179,203,203,156,166,237,263,177,183,333,339,187,191,325,336,227,239
C3228,1014,248,256,104,122,159,177,199,211,166,166,215,217,177,183,329,341,169,181,317,325,237,237
C3278,1014,278,280,104,124,173,177,193,203,166,166,259,263,177,181,339,341,187,187,326,330,235,243
C3279,1014,252,280,104,130,155,173,193,203,166,166,213,239,170,177,333,339,187,191,336,348,221,239
C3321,1014,278,280,104,104,177,179,193,205,156,158,259,263,177,181,333,341,181,181,326,330,227,227
C3322,1014,262,278,104,130,159,171,193,203,166,166,213,217,177,181,339,341,187,189,317,338,223,223
C3303,1014,248,280,130,130,163,163,205,207,156,166,257,259,177,185,333,333,185,187,317,325,235,235
C3317,1014,248,248,130,132,163,171,203,205,164,166,225,259,177,183,333,333,181,187,315,336,239,239
C3376,1014,248,276,124,124,163,177,203,203,160,160,245,255,177,185,0,0,187,189,315,317,221,237
C3401,1014,258,280,104,128,175,177,203,205,164,166,215,253,177,193,333,339,181,189,336,340,235,235
C3203,1014,254,290,122,128,0,0,199,209,156,160,217,241,177,177,333,333,185,189,318,346,221,221
C3245,1014,254,278,128,128,161,175,207,207,166,166,217,235,170,179,327,339,189,189,340,350,221,235
C3302,1014,276,276,104,124,161,163,205,207,160,164,213,227,170,177,327,333,187,189,317,326,225,227
C3307,1014,248,248,122,130,171,175,207,211,160,168,219,227,179,187,327,341,183,183,340,340,225,239
C3310,1014,256,274,120,130,163,165,203,203,156,166,213,227,170,185,339,341,185,189,325,340,225,227
C3312,1014,254,276,128,130,165,165,207,211,160,166,217,239,177,187,339,341,0,0,317,318,231,239
C3345,1014,254,280,130,130,163,163,203,209,156,160,227,239,177,187,327,341,169,185,317,325,221,225
C3362,1014,248,274,104,128,165,167,203,207,156,166,219,231,170,177,333,333,169,189,340,340,221,227
C3371,1014,280,282,104,130,171,177,203,207,160,160,219,227,170,179,327,333,183,191,318,330,225,225
C3372,1014,248,280,122,128,163,171,203,211,160,160,227,239,177,187,333,341,183,183,325,326,221,225
C3417,1014,254,282,122,130,171,177,203,209,164,168,219,231,170,177,327,333,189,191,317,346,221,229
C4569,7917,256,256,0,0,165,175,207,211,167,167,205,240,171,179,333,343,183,191,315,315,235,235
C4570,7917,248,248,0,0,155,163,205,211,167,167,241,241,171,179,333,343,179,187,317,340,239,239
C4571,7917,254,282,0,0,163,175,211,217,158,167,217,241,177,181,333,339,169,187,317,317,237,237
C4573,7917,272,272,0,0,163,171,205,211,158,164,233,241,177,177,327,333,169,183,315,340,229,237
C4575,7917,264,282,0,0,163,163,207,207,167,167,215,221,177,177,339,343,169,177,315,338,221,239
C4577,7917,248,280,0,0,161,163,203,217,167,167,221,221,181,183,341,341,167,177,317,334,237,239
C4600,7917,248,280,0,0,171,171,199,205,161,161,217,217,177,185,333,339,169,181,317,317,0,0
C4612,7917,248,282,0,0,159,165,203,203,158,164,217,217,177,183,331,343,169,177,322,334,235,235
C4621,7917,254,272,122,122,159,177,217,217,161,169,217,217,181,187,341,341,169,189,317,317,221,227
C4622,7917,248,276,104,130,179,179,203,217,161,164,0,0,185,185,327,345,169,185,340,344,239,239
C4623,7917,248,252,122,122,163,165,205,205,157,167,227,227,185,193,327,333,183,191,340,340,237,239
C4624,7917,248,278,104,124,163,179,211,219,167,167,215,215,171,183,333,341,181,185,338,340,223,237
C4625,7917,276,284,124,124,163,165,217,217,157,160,217,243,171,177,333,343,181,183,317,338,227,235
C4627,7917,254,282,104,124,163,165,203,203,157,167,212,217,171,177,335,335,185,191,317,340,227,227
C4631,7917,248,272,122,132,179,179,209,209,167,167,221,240,177,189,337,341,169,183,317,334,235,239
C4632,7917,248,254,130,130,163,165,203,211,161,164,240,240,179,179,333,343,187,187,317,340,237,237
C3939,7917,276,276,122,128,161,167,203,209,167,167,217,217,183,183,333,341,181,187,340,340,235,235
C3940,7917,264,264,122,128,161,161,203,209,161,167,213,213,177,181,331,341,187,187,317,336,237,237
C3945,7917,248,248,130,130,163,163,203,205,161,167,236,236,177,179,335,341,181,185,317,330,223,239
