Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B264_1,B264_2
C3374,31,248,248,122,122,165,177,201,205,183,193,333,341,191,191,221,237
C3405,31,282,282,104,122,165,177,205,209,183,185,327,333,169,183,235,235
C1692,151,252,254,104,140,165,167,203,207,171,179,335,341,183,189,221,235
C1693,151,254,256,104,130,171,179,209,209,177,177,333,333,191,191,221,235
C1694,151,248,290,104,130,165,169,207,209,179,183,333,333,183,191,221,221
C1698,151,248,258,124,128,163,183,199,211,171,179,333,333,183,191,229,235
C1699,151,256,282,128,128,165,175,209,213,171,177,331,337,169,183,227,227
C1700,151,248,256,128,130,159,171,203,207,177,177,331,333,183,187,221,235
C1701,151,252,270,122,124,161,171,205,207,171,177,327,337,181,193,221,237
C1702,151,252,260,104,128,161,175,199,209,171,189,333,341,183,193,221,229
C1703,151,248,256,124,128,163,163,205,207,177,185,335,337,183,193,235,235
C1704,151,256,286,124,130,163,163,203,205,169,179,333,335,183,191,235,237
C1705,151,248,260,104,104,155,167,209,211,177,185,331,335,187,191,235,235
C1706,151,248,254,122,124,165,171,207,207,171,191,327,337,187,187,221,227
C1707,151,250,252,122,128,165,177,199,207,177,177,333,339,183,183,221,235
C1708,151,254,258,120,132,165,169,209,211,171,185,333,333,181,191,229,243
C1710,151,252,258,124,132,159,161,203,207,171,189,333,339,181,185,229,235
C1712,151,248,260,104,134,161,179,205,207,179,189,331,339,169,169,235,235
C1714,151,256,260,128,132,163,171,205,209,183,189,335,337,169,183,221,221
C1715,151,248,252,128,130,155,167,213,217,171,185,333,337,169,189,227,235
C1717,151,252,256,128,130,155,161,203,203,183,185,333,333,191,191,221,235
C1718,151,0,0,0,0,155,167,203,217,173,187,333,333,169,191,235,237
C1719,151,248,276,104,130,159,169,203,209,177,179,331,333,173,183,221,235
C1720,151,248,258,130,134,159,179,205,209,177,179,331,339,169,183,221,235
C1656,170,254,268,124,124,165,171,207,207,177,177,337,337,169,183,229,235
C1657,170,268,276,104,104,163,175,0,0,171,189,335,337,169,183,227,235
C1658,170,266,268,104,124,173,173,199,207,171,177,333,333,183,183,235,235
C1659,170,252,262,104,124,161,175,203,215,177,179,335,339,169,169,235,241
C1661,170,248,266,104,128,165,177,203,207,177,189,333,337,169,169,229,251
C1665,170,274,276,120,122,165,173,207,211,171,179,333,337,169,169,221,235
C1667,170,260,260,124,130,171,173,0,0,179,189,331,337,187,191,233,235
C1674,170,248,280,0,0,0,0,203,217,191,193,339,341,169,185,235,235
C1682,170,248,254,128,130,155,165,207,211,189,191,333,335,183,183,223,227
C1685,170,274,276,128,130,161,165,203,217,173,191,333,337,169,183,227,229
C4543,568,248,254,122,122,167,179,207,207,177,183,335,341,183,191,221,239
C4545,568,248,280,0,0,163,179,217,217,177,189,329,335,179,181,239,239
C4551,568,248,248,0,0,161,165,211,217,179,179,341,341,183,189,237,237
C4490,568,280,280,104,130,171,179,203,211,177,187,337,341,172,181,223,239
C4491,568,256,256,104,120,163,163,203,211,177,179,337,341,169,185,221,235
C4494,568,276,276,104,120,163,179,205,211,177,177,335,341,181,183,235,239
C4497,568,258,276,124,128,177,177,217,217,183,187,341,343,183,191,221,235
C4501,568,248,254,136,136,163,179,205,205,177,179,335,339,181,181,221,229
C4502,568,248,264,104,136,163,165,203,203,177,183,333,333,181,185,221,237
C4503,568,248,272,122,132,179,179,209,209,177,189,337,341,169,183,235,239
C4504,568,254,276,124,126,163,165,209,209,175,175,333,343,169,191,223,239
C4470,568,264,282,128,134,177,179,205,211,171,179,333,335,169,179,221,235
C4474,568,248,248,104,122,163,179,211,211,171,179,335,343,169,183,223,237
C4479,568,278,278,124,128,155,175,211,211,177,177,341,341,169,187,221,239
C4482,568,276,276,130,136,165,171,207,207,171,177,343,345,181,183,227,239
C4485,568,276,282,104,122,165,179,207,207,171,179,335,335,185,187,221,235
C4505,568,248,248,122,124,163,179,201,205,181,187,335,339,169,183,235,239
C4507,568,248,258,122,134,155,167,205,205,177,183,335,335,191,191,237,237
