Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B264_1,B264_2
C4068,9101113a,0,0,104,120,159,171,207,217,170,177,327,333,183,187,221,221
C4082,9101113a,260,272,122,130,163,177,203,207,177,177,335,343,183,187,223,239
C4083,9101113a,258,276,122,132,155,163,205,211,185,187,333,341,169,183,221,237
C4086,9101113a,256,276,124,124,159,163,203,207,183,187,333,343,183,187,221,239
C4088,9101113a,248,248,124,124,175,175,207,207,0,0,333,341,169,189,227,237
C4097,9101113a,248,248,120,130,155,167,203,217,177,177,343,343,169,181,221,239
C4099,9101113a,254,254,104,124,0,0,203,203,183,183,327,333,187,187,235,235
C4127,9101113a,248,276,124,124,155,163,203,203,177,185,335,335,169,187,221,227
C4133,9101113a,264,280,104,128,177,177,205,211,177,183,333,333,185,189,221,239
C4135,9101113a,276,280,126,126,163,171,209,211,177,183,333,341,181,185,239,239
C4144,9101113a,248,248,104,122,155,159,205,205,170,187,333,333,169,183,0,0
C4167,9101113a,248,254,122,132,159,165,203,211,170,185,333,333,169,193,235,237
C4236,9101113a,248,248,124,124,159,177,205,211,179,183,333,333,183,191,235,237
C4237,9101113a,248,254,122,128,159,167,199,211,177,187,327,333,169,191,229,237
C4238,9101113a,248,256,122,128,165,175,203,217,170,183,331,339,187,189,235,241
C4239,9101113a,248,248,124,128,159,177,203,203,170,170,333,339,169,189,221,239
C4241,9101113a,248,256,122,128,159,163,203,219,179,181,339,339,183,185,221,239
C4247,9101113a,0,0,128,128,163,163,203,211,177,183,333,339,189,191,227,239
C4256,9101113a,248,248,104,128,165,175,203,217,179,185,333,339,169,187,221,239
C4257,9101113a,248,248,122,124,165,177,203,207,177,193,333,341,187,187,221,235
C4390,9101113a,256,276,104,104,161,177,199,205,170,187,341,343,169,181,235,235
C4534,9101113a,282,282,122,124,163,167,203,207,179,179,335,341,183,191,221,239
C4699,9101113a,248,276,122,124,159,165,203,203,185,187,331,333,169,189,227,227
C4700,9101113a,248,254,104,104,163,177,217,219,177,183,333,333,181,185,227,239
C1542,9101113a,276,278,122,124,163,177,203,207,179,179,333,339,169,187,235,239
C1544,9101113a,282,290,128,130,177,177,207,207,179,179,333,339,185,185,237,239
C1553,9101113a,248,286,122,130,155,163,203,207,187,193,329,341,183,189,227,235
C1557,9101113a,248,276,128,130,163,177,207,217,177,193,333,339,181,183,235,239
C1560,9101113a,248,286,128,130,163,177,203,217,177,185,333,333,181,183,235,239
C1567,9101113a,248,278,124,130,163,177,203,219,177,185,333,339,183,185,235,239
C1569,9101113a,248,282,122,128,163,177,207,219,181,193,333,333,181,185,235,235
C1576,9101113a,248,254,104,124,159,175,203,205,181,187,333,333,183,189,221,237
C1577,9101113a,248,280,124,130,165,177,203,205,177,181,333,333,169,191,227,235
C1579,9101113a,280,282,124,130,165,175,205,217,177,179,333,333,169,181,221,221
C3990,9101113b,248,248,104,120,163,163,203,203,170,183,343,343,169,169,239,239
C3991,9101113b,254,254,124,124,171,179,203,211,177,183,327,341,169,173,221,239
C3992,9101113b,272,272,104,122,155,171,203,203,170,177,343,343,173,187,221,239
C3994,9101113b,254,254,104,136,175,175,203,203,177,187,335,337,173,185,221,235
C4172,9101113b,254,278,104,122,163,171,203,209,185,185,327,343,189,193,221,235
C4173,9101113b,276,276,104,130,163,163,209,209,185,193,0,0,169,181,233,233
C4232,9101113b,276,276,104,106,177,177,203,203,170,183,339,341,183,189,235,235
C4259,9101113b,276,276,128,130,175,175,203,205,177,177,333,339,169,191,221,239
C4260,9101113b,276,276,104,122,163,175,203,213,177,179,341,341,185,187,221,237
C4261,9101113b,0,0,122,122,163,165,203,203,187,193,331,333,185,193,223,223
C4262,9101113b,248,248,124,130,155,165,217,217,170,185,331,333,173,183,221,239
C4263,9101113b,248,248,130,132,163,177,207,207,183,187,339,341,169,189,239,239
C4266,9101113b,272,272,124,130,155,177,207,219,183,185,331,339,173,189,221,227
C4269,9101113b,248,248,122,122,175,175,203,205,183,187,331,337,183,183,235,239
C4272,9101113b,248,248,128,134,159,177,205,209,183,187,333,339,183,185,221,221
C4274,9101113b,256,256,122,122,155,177,215,215,181,187,327,333,181,187,235,235
C4276,9101113b,262,262,104,104,163,163,215,215,183,187,333,339,169,189,235,235
C4277,9101113b,248,256,104,122,161,161,205,215,183,183,331,337,185,187,235,239
C4278,9101113b,248,256,122,128,159,171,211,213,183,187,331,341,181,181,239,239
C4280,9101113b,248,254,122,130,161,171,203,205,181,185,333,341,169,181,237,239
C4281,9101113b,248,248,106,122,163,165,203,219,170,177,333,333,169,189,235,235
C4282,9101113b,248,274,120,128,157,159,199,203,179,183,327,327,183,189,221,235
C4284,9101113b,248,248,104,128,159,177,203,203,177,183,0,0,183,189,237,239
C4286,9101113b,248,254,104,106,161,167,203,211,177,177,333,341,183,189,235,239
C4289,9101113b,262,276,120,124,165,177,207,211,177,181,329,341,183,187,235,235
C4290,9101113b,262,272,120,122,163,165,207,207,177,185,329,333,179,183,237,237
C4311,9101113b,276,276,120,120,155,165,203,219,181,185,333,333,185,187,221,227
C4312,9101113b,262,262,120,128,177,177,203,219,170,183,333,333,181,185,239,243
C4314,9101113b,248,266,104,106,175,175,211,219,177,183,333,333,187,189,237,239
C4318,9101113b,248,258,128,128,163,179,203,203,177,179,339,339,181,183,221,221
C4324,9101113b,256,256,104,122,163,177,205,205,177,183,335,341,169,181,227,233
C4334,9101113b,254,258,124,128,177,177,205,217,170,187,335,335,183,185,239,239
C4529,9101113b,254,280,106,128,163,179,207,207,183,183,335,335,183,187,235,239
C1583,9101113b,248,282,122,156,163,171,203,211,171,177,329,339,169,189,237,239
C1584,9101113b,272,282,128,130,163,163,205,217,183,183,333,341,169,181,237,239
C1589,9101113b,248,248,104,120,165,175,203,217,177,183,333,333,183,185,235,237
C1591,9101113b,248,258,128,128,163,177,203,211,177,183,329,343,169,185,221,235
C1592,9101113b,248,280,124,156,155,177,205,211,177,183,333,339,173,183,235,239
C1594,9101113b,258,262,120,156,175,177,203,211,177,181,333,341,185,187,227,237
C1596,9101113b,248,280,104,120,155,155,203,217,183,183,333,339,169,183,235,235
C1601,9101113b,248,276,104,130,155,163,203,207,177,185,333,333,181,185,229,239
C1605,9101113b,254,272,122,140,163,171,209,211,177,187,327,335,183,189,221,221
C1610,9101113b,276,280,124,130,175,177,205,207,171,183,333,339,169,183,235,237
C1611,9101113b,248,260,104,122,165,165,203,203,177,179,327,333,189,191,221,221
C1613,9101113b,248,276,104,124,163,165,203,207,177,179,333,339,191,191,237,237
C3173,9101113b,248,276,122,128,0,0,199,205,177,183,333,341,169,189,235,239
C3204,9101113b,276,286,124,130,163,179,207,207,181,181,327,333,181,185,221,221
C3258,9101113b,248,258,120,122,155,163,209,211,177,181,0,0,169,183,221,227
C3262,9101113b,248,278,104,156,163,175,199,219,170,183,327,333,169,189,221,221
C3390,9101113b,248,248,124,126,155,175,203,207,170,183,327,331,185,189,221,221
C3424,9101113b,248,276,104,128,175,181,0,0,183,187,329,333,181,187,235,235
C3958,9101113b,248,248,104,130,171,177,203,217,177,183,335,335,169,181,235,235
C3959,9101113b,248,248,104,120,161,179,203,217,177,181,339,343,169,183,237,237
C3960,9101113b,248,276,124,124,155,171,203,203,0,0,335,343,169,183,221,221
C4019,9101113b,260,280,104,140,159,163,199,201,185,187,327,333,181,187,235,235
C4000,9101113b,248,276,104,136,155,181,199,203,181,189,333,341,187,191,223,239
C4002,9101113b,248,276,104,130,163,179,203,205,179,183,333,333,183,189,235,239
C4023,9101113b,272,276,124,130,171,177,203,217,177,183,335,341,181,183,235,239
U1941,APA12PACb,254,272,124,128,161,173,203,215,171,183,339,341,187,187,221,235
U1942,APA12PACb,280,282,128,136,165,171,209,219,171,189,339,343,169,183,235,239
U1957,APA12PACb,0,0,104,122,163,179,207,211,183,183,333,339,169,187,221,221
U2016,APA12PACb,248,284,104,120,165,167,201,201,171,189,327,339,183,187,227,235
U2021,APA12PACb,248,256,128,130,155,165,207,209,183,187,337,341,169,183,223,223
U2022,APA12PACb,256,276,120,134,167,169,205,207,179,183,327,331,183,187,235,235
U2023,APA12PACb,248,272,128,134,155,173,205,207,171,179,331,337,183,187,221,221
U2024,APA12PACb,248,260,124,124,159,171,203,207,179,179,333,339,189,191,235,239
U2025,APA12PACb,248,248,124,134,161,173,203,211,179,187,333,335,181,187,221,249
U2027,APA12PACb,254,256,122,124,163,175,199,207,179,187,333,337,187,193,231,237
U2028,APA12PACb,260,280,124,132,161,171,207,217,179,189,339,339,169,169,221,249
U2029,APA12PACb,256,280,104,130,161,169,205,211,185,189,327,337,183,187,237,237
U2031,APA12PACb,260,266,124,130,161,165,203,217,171,171,333,339,169,187,221,235
U1943,APA12PACb,256,276,128,128,163,179,199,205,179,187,335,337,183,191,221,221
U1944,APA12PACb,254,276,104,128,155,161,199,211,185,187,335,337,169,183,221,235
U1945,APA12PACb,254,274,124,130,163,165,209,211,171,191,335,337,169,181,235,235
U1946,APA12PACb,248,256,104,128,159,165,199,207,177,185,333,337,183,187,221,227
U1947,APA12PACb,248,280,104,120,167,167,199,207,179,189,331,339,169,187,223,223
U1948,APA12PACb,248,248,104,140,163,173,199,205,179,183,327,341,169,191,241,241
U1949,APA12PACb,256,266,104,134,155,163,199,207,171,177,327,339,181,183,227,235
U2005,APA12PACb,258,260,128,130,163,171,197,213,179,183,335,339,183,187,221,221
U2006,APA12PACb,248,288,104,146,163,165,203,213,171,185,339,339,169,187,229,235
U2008,APA12PACb,252,258,120,146,161,161,209,213,171,181,333,339,169,187,229,229
U2010,APA12PACb,258,288,104,120,161,171,0,0,183,189,333,333,181,183,235,235
U2012,APA12PACb,248,256,120,130,165,167,209,217,171,171,333,339,183,187,235,245
U2014,APA12PACb,248,248,122,128,155,161,199,211,179,185,331,333,169,187,235,251
U2702,APA12PACb,248,260,128,132,163,179,203,219,187,189,337,339,191,193,221,233
U2703,APA12PACb,254,286,122,130,165,179,203,207,179,179,337,337,169,193,221,233
U2706,APA12PACb,258,270,104,122,161,171,0,0,171,177,333,337,169,177,221,237
U2707,APA12PACb,248,248,104,115,159,165,207,207,171,171,333,333,183,187,237,237
U2698,APA12PACb,248,264,104,122,159,165,205,211,171,183,333,339,181,183,235,235
U2700,APA12PACb,258,274,120,130,161,167,203,211,171,173,333,341,187,191,221,235
U1924,APA12PACb,248,278,104,130,161,163,207,207,183,195,327,339,183,197,235,237
U1930,APA12PACb,248,254,124,124,163,171,207,207,171,183,331,343,183,187,237,241
U1931,APA12PACb,248,254,104,124,159,171,203,207,171,171,333,343,181,183,221,235
U1934,APA12PACb,248,286,120,120,161,177,203,217,185,187,339,339,177,183,221,227
U1935,APA12PACb,276,282,104,128,161,167,203,217,185,185,333,333,187,191,221,227
U1938,APA12PACb,260,280,104,128,163,167,207,211,171,171,333,343,181,187,229,235
U1939,APA12PACb,248,280,122,128,163,171,201,207,171,187,341,343,169,189,221,221
U1950,APA12PACb,256,256,115,115,171,171,201,207,181,185,329,333,169,187,227,235
U1951,APA12PACb,256,280,124,136,163,165,207,217,179,189,331,333,169,175,221,227
U1953,APA12PACb,262,278,124,124,169,175,207,207,171,185,333,339,169,183,221,235
U1954,APA12PACb,256,262,124,130,161,163,203,207,171,185,331,335,169,169,221,223
U2044,APA12PACb,248,254,128,134,171,171,205,217,179,189,337,339,173,181,225,235
U2047,APA12PACb,254,276,128,136,147,157,199,207,189,189,333,341,183,191,233,235
U2048,APA12PACb,260,286,132,132,165,173,199,209,171,183,333,333,183,183,229,239
U2050,APA12PACb,248,260,120,122,157,161,199,209,179,185,337,339,169,181,235,237
U2051,APA12PACb,254,254,120,134,163,171,199,199,171,177,333,337,183,187,235,237
U2057,APA12PACb,280,282,104,124,167,173,203,205,185,193,333,339,169,183,237,237
U2058,APA12PACb,248,282,124,136,163,163,203,205,185,187,331,331,173,191,235,235
U2059,APA12PACb,282,284,104,122,159,167,203,203,181,193,331,331,169,187,221,221
U2061,APA12PACb,272,280,128,130,163,169,199,207,185,187,327,339,183,183,221,221
U2062,APA12PACb,262,272,130,132,163,163,199,205,171,187,333,333,169,189,235,235
U2063,APA12PACb,248,272,124,130,159,167,199,203,171,187,333,339,169,183,221,221
U2064,APA12PACb,248,254,130,130,163,177,199,217,171,185,333,339,187,189,221,235
U2065,APA12PACb,258,258,104,136,159,171,207,207,185,187,333,335,169,191,235,235
U2067,APA12PACb,248,268,104,124,161,163,205,217,171,177,333,339,169,169,237,237
U2068,APA12PACb,254,268,120,124,161,163,207,207,177,177,333,333,169,181,221,237
U2070,APA12PACb,268,288,124,128,163,165,207,211,177,187,333,343,187,191,221,237
U2076,APA12PACb,268,280,128,128,157,163,199,207,171,177,341,343,169,183,221,235
U2077,APA12PACb,248,280,122,124,163,171,199,203,171,189,333,343,183,189,221,237
U2089,APA12PACb,276,284,104,124,161,175,199,205,177,187,333,335,179,183,235,235
U2090,APA12PACb,248,276,122,124,161,165,203,205,171,181,335,343,183,187,221,235
U2113,APA12PACb,248,276,130,130,165,165,207,209,179,187,331,335,191,193,243,243
U2114,APA12PACb,248,266,104,130,165,173,209,213,179,183,335,339,187,193,221,235
U2115,APA12PACb,248,248,104,128,161,169,207,209,185,187,331,333,169,181,235,235
U2116,APA12PACb,254,284,130,136,161,163,0,0,189,193,333,337,169,169,227,227
U2117,APA12PACb,248,266,122,130,165,177,203,207,177,181,327,335,181,195,221,221
U2119,APA12PACb,248,248,104,128,161,163,195,209,179,179,333,341,169,189,221,223
U2120,APA12PACb,248,254,104,136,163,167,207,215,177,185,329,329,183,191,227,229
U2664,APA12PACb,254,256,104,128,157,171,205,207,177,189,333,339,185,189,221,235
U1198,BV,248,278,130,130,163,167,207,207,171,185,327,333,173,183,237,239
U1199,BV,256,276,130,132,163,171,203,207,179,185,333,335,169,187,223,235
U1200,BV,256,264,120,130,155,163,207,211,185,189,333,335,181,191,223,235
U1201,BV,250,260,122,132,155,169,205,209,177,189,329,333,169,187,235,237
U1202,BV,256,260,104,132,155,163,209,217,175,177,333,335,169,169,227,229
U1203,BV,254,268,132,138,163,171,203,203,171,191,331,337,183,183,221,237
U1205,BV,248,250,124,130,161,165,207,217,189,189,327,333,187,191,235,235
U1206,BV,248,254,124,138,163,163,203,207,177,189,333,343,183,187,233,235
U1208,BV,248,260,104,132,163,165,203,207,171,189,333,333,183,191,227,237
U1209,BV,250,262,120,132,163,169,203,211,177,189,333,339,183,191,235,235
U1210,BV,248,248,128,138,163,163,209,217,181,189,327,333,169,183,223,235
U1211,BV,248,258,132,138,163,177,207,211,171,179,337,339,169,191,221,235
U1212,BV,256,286,104,120,171,173,211,217,171,179,333,339,187,187,221,235
U1213,BV,248,258,130,138,163,167,207,207,171,187,337,339,169,187,235,239
U1214,BV,248,248,120,132,161,169,203,217,179,179,333,341,183,191,221,235
U1217,BV,250,260,130,134,163,163,209,217,171,189,339,341,183,191,235,235
U1224,BV,250,262,120,124,155,165,203,205,187,189,329,335,169,183,221,235
U1227,BV,248,260,104,128,155,167,209,215,177,185,335,335,169,187,235,237
U1229,BV,254,258,104,120,163,171,199,209,177,193,327,337,169,191,233,235
U1230,BV,248,254,104,124,161,163,207,209,177,185,329,337,169,169,219,219
U1232,BV,258,268,104,148,161,161,199,209,171,189,333,335,169,173,221,233
U1233,BV,252,252,104,124,163,171,194,203,177,177,329,335,0,0,221,221
U1234,BV,248,260,104,148,161,163,207,207,171,183,333,333,173,189,227,229
U1235,BV,256,268,124,148,155,169,199,209,185,189,331,333,183,191,221,245
U1236,BV,248,264,124,128,163,165,203,209,187,189,331,333,187,191,221,221
U1239,BV,254,276,124,134,163,165,203,207,179,185,331,333,169,183,221,235
U1240,BV,258,268,124,128,163,163,203,211,185,189,331,333,191,191,237,237
U1242,BV,248,248,130,138,163,165,205,207,177,177,333,337,169,191,237,239
U1245,BV,248,254,120,138,159,163,207,207,185,185,333,337,183,195,235,237
U1251,BV,258,266,120,130,169,171,207,211,171,189,337,339,191,193,235,235
U1262,BV,248,266,115,132,159,169,203,207,171,177,333,337,183,193,225,237
U1267,BV,262,276,122,132,163,163,203,207,177,185,335,337,189,193,227,235
U1274,BV,248,256,104,128,159,173,199,211,169,171,333,335,183,187,235,235
U1294,BV,250,278,122,124,155,169,207,211,189,189,329,331,183,187,223,235
U1306,BV,248,256,124,124,159,159,211,211,171,189,329,333,189,191,221,221
U1314,BV,258,270,104,128,159,169,203,211,189,189,333,339,183,187,0,0
U1315,BV,248,260,104,128,155,163,211,211,171,177,327,335,191,193,227,235
U1319,BV,274,280,104,109,161,167,211,217,177,185,333,333,169,193,227,235
U1320,BV,262,272,104,124,155,165,199,205,171,189,339,341,183,187,223,235
U1324,BV,248,254,132,132,155,163,203,211,171,193,327,333,173,187,221,221
U1331,BV,250,254,130,132,155,163,199,209,185,189,339,339,187,189,221,235
U1333,BV,248,248,104,124,155,167,203,211,179,185,335,339,169,183,221,221
U1340,BV,276,278,104,134,163,167,199,207,179,187,337,339,169,189,235,247
U1344,BV,262,276,126,130,167,171,209,213,171,183,327,337,169,183,221,235
U1346,BV,248,256,104,148,155,169,199,207,171,187,333,335,183,183,221,223
U1349,BV,248,276,130,132,155,163,207,211,181,185,331,333,183,183,229,235
U1375,BV,248,254,104,136,161,165,207,211,177,187,339,343,169,183,223,235
U1383,BV,248,270,124,136,167,171,199,211,177,191,0,0,183,183,221,235
U1385,BV,248,276,104,128,155,157,203,207,181,183,327,333,183,191,227,243
U1413,BV,248,260,124,132,0,0,209,211,177,179,333,339,169,183,227,235
U1417,BV,258,276,124,130,163,167,207,213,171,189,333,337,169,183,235,239
U1852,BVT,248,280,128,130,161,163,197,209,171,179,329,333,183,183,221,237
U1853,BVT,248,280,124,130,159,161,201,211,171,185,331,333,169,183,221,221
U1855,BVT,254,264,124,128,155,177,207,211,171,177,333,333,183,187,237,237
U1858,BVT,248,276,128,130,155,163,203,207,171,179,327,333,187,191,237,237
U1859,BVT,264,280,122,128,171,171,207,209,171,185,333,339,169,173,217,221
U1860,BVT,248,288,104,115,167,173,209,209,171,185,329,339,173,189,221,221
U1862,BVT,248,256,124,130,163,171,207,211,177,193,339,339,169,183,221,227
U1863,BVT,250,278,130,136,163,175,211,211,177,193,337,339,169,187,221,221
U1865,BVT,248,256,122,134,165,177,203,207,171,177,333,341,183,187,221,237
U1871,BVT,256,278,120,128,161,167,205,209,177,177,333,333,169,183,221,221
U1873,BVT,256,278,104,120,155,155,203,207,179,187,333,339,169,183,223,229
U1875,BVT,278,282,128,130,163,167,207,207,177,183,331,335,169,191,221,221
U1876,BVT,248,282,104,130,167,177,203,207,183,189,333,341,191,193,233,235
U2448,BVTGMVT2,248,260,104,120,159,163,203,207,177,189,327,337,185,187,221,221
U2449,BVTGMVT2,248,256,124,128,157,165,203,203,177,179,327,333,187,187,237,237
U2450,BVTGMVT2,252,282,124,128,173,173,197,207,185,193,339,339,183,185,235,235
U2451,BVTGMVT2,248,254,122,124,165,167,199,205,177,181,0,0,169,183,221,237
U2452,BVTGMVT2,248,248,104,124,163,163,201,209,177,177,0,0,181,191,221,221
U2453,BVTGMVT2,248,278,104,124,175,177,205,207,177,185,333,333,187,191,227,235
U2454,BVTGMVT2,248,264,128,130,175,175,207,207,171,177,339,343,169,183,239,243
U2455,BVTGMVT2,248,258,128,158,159,175,207,211,179,179,333,333,179,183,235,235
U2456,BVTGMVT2,258,282,104,124,155,173,203,207,171,179,335,339,187,191,0,0
U2457,BVTGMVT2,248,276,104,134,165,173,207,211,179,187,335,337,185,187,221,221
U2459,BVTGMVT2,258,272,124,128,155,175,209,219,177,183,333,341,183,193,235,237
U2460,BVTGMVT2,248,258,128,136,161,171,201,205,179,185,333,343,169,169,235,235
U2461,BVTGMVT2,252,272,104,124,151,171,207,211,177,179,333,337,169,189,227,227
U1826,BVTGMVT2,248,254,122,124,161,177,211,211,177,185,331,339,169,183,221,235
U1827,BVTGMVT2,248,262,104,128,155,177,205,213,171,171,339,339,169,191,221,235
U1828,BVTGMVT2,248,290,130,130,159,169,205,207,171,187,333,339,181,183,221,227
U1829,BVTGMVT2,248,254,104,136,163,163,211,217,171,181,333,335,169,179,235,237
U1831,BVTGMVT2,254,268,124,128,161,163,209,213,177,187,333,339,169,191,235,237
U1833,BVTGMVT2,248,254,124,142,165,175,211,211,171,171,331,333,169,183,221,221
U1834,BVTGMVT2,252,254,104,124,159,163,199,207,171,177,339,343,183,187,0,0
U1836,BVTGMVT2,248,264,122,132,159,163,211,217,169,185,335,339,167,185,219,235
U1837,BVTGMVT2,248,254,104,122,155,163,211,219,187,191,335,339,187,187,221,227
U1838,BVTGMVT2,254,254,120,124,155,163,199,207,177,181,333,343,187,187,227,235
U1839,BVTGMVT2,264,290,124,128,161,163,203,213,171,177,333,343,183,191,221,221
U1840,BVTGMVT2,248,264,124,130,163,167,213,219,177,181,333,339,187,191,221,221
U1842,BVTGMVT2,254,276,124,128,161,163,207,213,177,183,335,343,189,191,235,235
U1844,BVTGMVT2,256,264,124,128,161,165,199,209,179,181,333,343,181,191,235,237
U1845,BVTGMVT2,254,274,104,124,161,163,199,205,177,193,339,343,169,187,227,235
U1762,CNF,264,282,122,132,159,161,211,211,177,185,339,341,169,183,221,237
U1763,CNF,252,272,130,132,161,163,207,211,185,187,333,339,169,187,241,241
U1765,CNF,248,252,130,130,159,159,211,211,185,187,333,333,169,187,227,227
U1766,CNF,264,284,130,136,159,163,207,211,177,185,333,343,169,187,0,0
U1767,CNF,264,276,128,136,159,169,207,211,185,189,335,339,169,183,227,227
U1771,CNF,270,284,128,130,163,165,207,211,171,177,339,339,183,191,227,235
U1772,CNF,270,270,122,130,155,163,211,211,177,177,327,333,189,191,227,237
U1777,CNF,270,284,122,130,155,163,199,219,177,187,333,333,169,189,235,235
U1778,CNF,248,270,130,132,155,171,207,211,171,189,329,333,189,189,221,237
U1779,CNF,252,274,122,128,165,171,199,211,171,185,333,337,169,191,235,235
U1780,CNF,270,284,130,132,159,171,207,219,171,177,341,343,187,191,229,235
U1789,CNF,272,284,130,132,157,167,207,211,177,189,333,337,181,189,227,229
U1790,CNF,272,284,132,136,155,175,207,219,171,177,339,343,187,187,221,227
U2467,FKN,270,276,122,128,155,163,207,219,189,189,331,333,185,189,221,249
U2468,FKN,254,260,132,134,163,165,199,205,171,177,341,341,189,191,221,227
U2469,FKN,248,262,122,128,163,163,207,219,169,183,333,339,189,199,221,237
U2470,FKN,248,260,104,128,163,163,203,217,171,177,333,339,193,199,235,237
U2471,FKN,270,276,122,124,165,169,219,219,163,189,339,339,169,187,221,237
U2472,FKN,248,260,104,126,163,165,199,219,189,193,335,339,183,191,221,221
U2475,FKN,260,276,104,122,155,163,211,211,179,193,339,341,169,183,221,235
U2476,FKN,248,278,119,122,155,165,199,219,179,183,339,339,181,191,221,229
U2477,FKN,248,256,122,128,167,167,205,207,185,189,327,339,169,187,235,237
U2478,FKN,256,282,132,134,161,167,211,211,177,187,333,339,181,187,239,239
U2481,FKN,278,282,128,132,161,179,197,211,177,183,333,339,187,189,237,237
U2482,FKN,248,258,120,128,169,179,199,209,177,187,337,339,169,187,233,235
U2483,FKN,248,254,104,128,163,163,209,211,185,189,333,337,187,187,221,235
U2484,FKN,248,248,122,132,163,163,207,209,177,187,331,333,169,187,233,235
U2485,FKN,248,272,128,132,161,169,207,209,179,187,337,339,173,187,235,235
U2487,FKN,248,254,126,132,165,169,207,207,185,187,0,0,183,187,235,235
U2490,FKN,248,248,128,128,163,173,207,211,189,193,333,341,169,189,221,239
U2491,FKN,276,290,124,128,163,163,199,207,179,189,327,337,169,183,223,239
U2495,FKN,256,264,104,128,165,169,205,207,177,191,337,341,169,191,235,239
U2496,FKN,248,256,104,134,155,159,207,207,179,189,337,339,169,189,223,229
U2497,FKN,254,280,104,128,161,165,203,207,177,179,337,339,187,187,221,239
U2498,FKN,256,260,124,128,155,165,205,207,179,191,335,339,169,177,235,239
U2499,FKN,254,260,120,134,155,165,197,205,177,193,333,337,173,187,237,239
U2502,FKN,248,260,104,104,155,173,207,209,183,189,333,333,169,191,221,221
U2503,FKN,248,254,104,128,155,165,205,207,177,189,333,337,187,191,221,221
U2202,GMVT1,272,284,104,120,159,165,207,211,177,179,333,335,169,169,223,223
U2203,GMVT1,270,282,104,104,155,165,197,199,181,187,339,339,183,191,221,235
U2205,GMVT1,260,274,128,130,159,163,199,203,177,177,341,343,169,183,221,221
U2206,GMVT1,248,252,124,128,171,173,203,207,179,185,0,0,169,181,229,235
U2207,GMVT1,256,280,120,124,161,163,195,211,181,187,333,341,169,191,221,221
U2212,GMVT1,248,280,128,128,157,163,205,219,0,0,333,335,0,0,221,235
U2215,GMVT1,258,268,130,130,161,163,203,203,171,177,333,335,169,189,227,227
U2216,GMVT1,256,280,122,136,165,165,199,211,179,181,333,339,169,183,0,0
U2217,GMVT1,248,260,120,128,155,169,207,209,169,179,331,339,183,183,223,231
U2221,GMVT1,276,280,124,128,167,171,195,207,171,181,331,341,169,183,229,235
U2222,GMVT1,276,276,104,122,163,165,195,207,171,181,339,341,169,183,227,227
U2224,GMVT1,260,276,122,138,165,167,203,219,171,183,0,0,169,183,235,235
U2225,GMVT1,0,0,128,136,155,163,207,219,187,187,333,341,183,187,235,235
U1120,MC,252,258,104,104,0,0,205,207,179,181,333,339,169,183,221,245
U1122,MC,248,272,104,132,167,179,0,0,185,193,327,339,169,183,235,235
U1125,MC,260,264,124,134,163,165,205,205,177,185,333,335,183,193,223,223
U1126,MC,248,274,128,130,161,173,199,207,171,177,327,335,169,183,227,235
U1127,MC,254,254,130,136,163,167,207,209,171,171,333,335,169,187,221,227
U1128,MC,260,264,104,104,171,181,199,207,187,187,333,337,169,169,239,239
U1129,MC,264,280,104,132,163,171,207,211,175,187,333,337,189,191,221,227
U1131,MC,248,248,124,128,167,171,207,215,183,187,333,335,169,183,239,239
U1135,MC,248,248,128,130,159,171,207,211,171,185,333,333,169,193,231,237
U1140,MC,254,282,122,128,163,167,199,211,171,185,333,339,187,187,221,235
U1142,MC,248,256,120,120,163,163,199,209,171,189,327,333,183,187,221,235
U1144,MC,256,268,104,134,159,167,203,203,171,183,327,333,189,191,223,235
U1145,MC,248,268,124,130,155,171,203,209,177,185,327,327,183,189,221,221
U1146,MC,248,262,122,130,163,167,199,207,171,187,327,335,187,191,241,241
U1147,MC,248,254,104,122,155,163,211,215,177,199,331,333,183,183,221,235
U1148,MC,268,276,115,128,163,171,207,207,183,187,333,333,169,187,235,235
U1150,MC,252,274,124,134,163,167,0,0,171,185,329,333,169,183,235,241
U1151,MC,266,282,106,120,163,167,207,217,171,171,339,341,187,193,221,235
U1153,MC,248,278,122,128,163,165,205,211,187,187,333,339,169,183,235,237
U1155,MC,254,264,132,138,163,169,199,217,169,189,329,339,187,191,233,235
U1157,MC,248,276,124,132,155,165,203,203,171,187,333,339,169,191,235,237
U1159,MC,248,276,124,132,155,165,199,203,177,185,333,339,191,193,221,235
U1160,MC,272,276,104,128,165,165,203,217,187,187,333,341,187,193,221,227
U1161,MC,272,288,104,136,163,165,205,207,185,185,333,339,191,191,221,237
U1163,MC,248,254,124,128,155,155,197,207,171,171,327,335,191,191,229,237
U1165,MC,252,272,122,136,155,171,211,217,179,185,333,333,183,187,221,221
U1168,MC,252,274,104,124,159,171,205,207,171,183,327,339,169,187,237,237
U1169,MC,256,286,104,130,163,167,205,215,183,193,327,331,187,191,221,235
U1170,MC,254,256,130,136,163,171,211,215,177,199,331,341,187,189,221,237
U1171,MC,256,268,120,128,157,163,207,209,183,189,333,339,169,181,221,243
U1173,MC,248,254,124,126,163,165,201,205,177,187,333,333,169,187,221,235
U1174,MC,0,0,115,120,0,0,199,209,171,185,339,343,169,181,227,235
