"","Ind","Pop","Longitude","Latitude","B114_1","B114_2","B159__1","B159_2","WGA_1","WGA_2","A5_1","A5_2","B121_1","B121_2","B147_1","B147_2","B249_1","B249_2","B264_1","B264_2"
"947","C4286","9101113b",-66.7376,45.96688,248,254,104,106,161,167,203,211,177,177,333,341,183,189,235,239
"950","C4289","9101113b",-66.70252,45.96596,262,276,120,124,165,177,207,211,177,181,329,341,183,187,235,235
"951","C4290","9101113b",-66.70243,45.96613,262,272,120,122,163,165,207,207,177,185,329,333,179,183,237,237
"961","C4311","9101113b",-66.6734,45.96122,276,276,120,120,155,165,203,219,181,185,333,333,185,187,221,227
"962","C4312","9101113b",-66.67552,45.96243,262,262,120,128,177,177,203,219,170,183,333,333,181,185,239,243
"964","C4314","9101113b",-66.68288,45.96513,248,266,104,106,175,175,211,219,177,183,333,333,187,189,237,239
"968","C4318","9101113b",-66.69072,45.98466,248,258,128,128,163,179,203,203,177,179,339,339,181,183,221,221
"973","C4324","9101113b",-66.70061,46.00626,256,256,104,122,163,177,205,205,177,183,335,341,169,181,227,233
"977","C4334","9101113b",-66.68658,45.98795,254,258,124,128,177,177,205,217,170,187,335,335,183,185,239,239
"983","C4529","9101113b",-66.64878,45.96125,254,280,106,128,163,179,207,207,183,183,335,335,183,187,235,239
"985","C1583","9101113b",-66.8321107,45.9855681,248,282,122,156,163,171,203,211,171,177,329,339,169,189,237,239
"986","C1584","9101113b",-66.8322352,45.9853544,272,282,128,130,163,163,205,217,183,183,333,341,169,181,237,239
"990","C1589","9101113b",-66.8317652,45.9841665,248,248,104,120,165,175,203,217,177,183,333,333,183,185,235,237
"992","C1591","9101113b",-66.8314992,45.9837024,248,258,128,128,163,177,203,211,177,183,329,343,169,185,221,235
"993","C1592","9101113b",-66.831302,45.9834646,248,280,124,156,155,177,205,211,177,183,333,339,173,183,235,239
"995","C1594","9101113b",-66.8313119,45.9828798,258,262,120,156,175,177,203,211,177,181,333,341,185,187,227,237
"997","C1596","9101113b",-66.8313152,45.9824658,248,280,104,120,155,155,203,217,183,183,333,339,169,183,235,235
"1002","C1601","9101113b",-66.8317275,45.9828156,248,276,104,130,155,163,203,207,177,185,333,333,181,185,229,239
"1006","C1605","9101113b",-66.8314974,45.9854034,254,272,122,140,163,171,209,211,177,187,327,335,183,189,221,221
"1011","C1610","9101113b",-66.8314726,45.9866991,276,280,124,130,175,177,205,207,171,183,333,339,169,183,235,237
"1012","C1611","9101113b",-66.8313609,45.986913,248,260,104,122,165,165,203,203,177,179,327,333,189,191,221,221
"1014","C1613","9101113b",-66.8313283,45.9874164,248,276,104,124,163,165,203,207,177,179,333,339,191,191,237,237
"1016","C3173","9101113b",-66.91072,46.06885,248,276,122,128,0,0,199,205,177,183,333,341,169,189,235,239
"1017","C3204","9101113b",-66.91138,46.06835,276,286,124,130,163,179,207,207,181,181,327,333,181,185,221,221
"1021","C3258","9101113b",-66.90855,46.07263,248,258,120,122,155,163,209,211,177,181,0,0,169,183,221,227
"1022","C3262","9101113b",-66.92072,46.07208,248,278,104,156,163,175,199,219,170,183,327,333,169,189,221,221
"1026","C3390","9101113b",-66.922,46.07248,248,248,124,126,155,175,203,207,170,183,327,331,185,189,221,221
"1027","C3424","9101113b",-66.9096,46.06962,248,276,104,128,175,181,0,0,183,187,329,333,181,187,235,235
"1028","C3958","9101113b",-66.577054,46.002343,248,248,104,130,171,177,203,217,177,183,335,335,169,181,235,235
"1029","C3959","9101113b",-66.672434,46.270326,248,248,104,120,161,179,203,217,177,181,339,343,169,183,237,237
"1030","C3960","9101113b",-66.671308,46.270536,248,276,124,124,155,171,203,203,0,0,335,343,169,183,221,221
"1033","C4019","9101113b",-66.582507,45.988462,260,280,104,140,159,163,199,201,185,187,327,333,181,187,235,235
"1039","C4000","9101113b",-66.60488,45.925868,248,276,104,136,155,181,199,203,181,189,333,341,187,191,223,239
"1041","C4002","9101113b",-66.605512,45.926154,248,276,104,130,163,179,203,205,179,183,333,333,183,189,235,239
"1049","C4023","9101113b",-66.576626,46.002403,272,276,124,130,171,177,203,217,177,183,335,341,181,183,235,239
"1051","U1941","APA12PACb",-78.9640434,41.8558719,254,272,124,128,161,173,203,215,171,183,339,341,187,187,221,235
"1052","U1942","APA12PACb",-78.9477644,41.852601,280,282,128,136,165,171,209,219,171,189,339,343,169,183,235,239
"1053","U1957","APA12PACb",-78.9589435,41.835166,0,0,104,122,163,179,207,211,183,183,333,339,169,187,221,221
"1054","U2016","APA12PACb",-78.9484086,41.854684,248,284,104,120,165,167,201,201,171,189,327,339,183,187,227,235
"1055","U2021","APA12PACb",-78.958476,41.8388863,248,256,128,130,155,165,207,209,183,187,337,341,169,183,223,223
"1056","U2022","APA12PACb",-78.9578555,41.8390824,256,276,120,134,167,169,205,207,179,183,327,331,183,187,235,235
"1057","U2023","APA12PACb",-78.9577346,41.8383418,248,272,128,134,155,173,205,207,171,179,331,337,183,187,221,221
"1058","U2024","APA12PACb",-78.9580977,41.8379069,248,260,124,124,159,171,203,207,179,179,333,339,189,191,235,239
"1059","U2025","APA12PACb",-78.9577351,41.837189,248,248,124,134,161,173,203,211,179,187,333,335,181,187,221,249
"1061","U2027","APA12PACb",-78.9572362,41.8369729,254,256,122,124,163,175,199,207,179,187,333,337,187,193,231,237
"1062","U2028","APA12PACb",-78.9572748,41.8368926,260,280,124,132,161,171,207,217,179,189,339,339,169,169,221,249
"1063","U2029","APA12PACb",-78.9570876,41.8333137,256,280,104,130,161,169,205,211,185,189,327,337,183,187,237,237
"1065","U2031","APA12PACb",-78.9565105,41.8332855,260,266,124,130,161,165,203,217,171,171,333,339,169,187,221,235
"1068","U1943","APA12PACb",-79.2568496,41.8382918,256,276,128,128,163,179,199,205,179,187,335,337,183,191,221,221
