"","Ind","Pop","Longitude","Latitude","B114_1","B114_2","B159__1","B159_2","WGA_1","WGA_2","A5_1","A5_2","B121_1","B121_2","B147_1","B147_2","B249_1","B249_2","B264_1","B264_2"
"1069","U1944","APA12PACb",-79.2562674,41.8375535,254,276,104,128,155,161,199,211,185,187,335,337,169,183,221,235
"1070","U1945","APA12PACb",-79.2631744,41.8377752,254,274,124,130,163,165,209,211,171,191,335,337,169,181,235,235
"1071","U1946","APA12PACb",-79.2630228,41.8375928,248,256,104,128,159,165,199,207,177,185,333,337,183,187,221,227
"1072","U1947","APA12PACb",-79.2611927,41.8331249,248,280,104,120,167,167,199,207,179,189,331,339,169,187,223,223
"1073","U1948","APA12PACb",-79.2611925,41.8331339,248,248,104,140,163,173,199,205,179,183,327,341,169,191,241,241
"1074","U1949","APA12PACb",-79.2611047,41.8319257,256,266,104,134,155,163,199,207,171,177,327,339,181,183,227,235
"1076","U2005","APA12PACb",-79.1164872,41.8228989,258,260,128,130,163,171,197,213,179,183,335,339,183,187,221,221
"1077","U2006","APA12PACb",-79.1165701,41.8229453,248,288,104,146,163,165,203,213,171,185,339,339,169,187,229,235
"1079","U2008","APA12PACb",-79.1158781,41.8231411,252,258,120,146,161,161,209,213,171,181,333,339,169,187,229,229
"1081","U2010","APA12PACb",-79.1147326,41.8231943,258,288,104,120,161,171,0,0,183,189,333,333,181,183,235,235
"1083","U2012","APA12PACb",-79.1145377,41.8232722,248,256,120,130,165,167,209,217,171,171,333,339,183,187,235,245
"1085","U2014","APA12PACb",-79.1096045,41.8223354,248,248,122,128,155,161,199,211,179,185,331,333,169,187,235,251
"1087","U2702","APA12PACb",-79.25517,41.54528,248,260,128,132,163,179,203,219,187,189,337,339,191,193,221,233
"1088","U2703","APA12PACb",-79.255,41.54493,254,286,122,130,165,179,203,207,179,179,337,337,169,193,221,233
"1090","U2706","APA12PACb",-79.25742,41.54366,258,270,104,122,161,171,0,0,171,177,333,337,169,177,221,237
"1091","U2707","APA12PACb",-79.25728,41.54283,248,248,104,115,159,165,207,207,171,171,333,333,183,187,237,237
"1093","U2698","APA12PACb",-79.67814,41.69298,248,264,104,122,159,165,205,211,171,183,333,339,181,183,235,235
"1094","U2700","APA12PACb",-79.67642,41.69276,258,274,120,130,161,167,203,211,171,173,333,341,187,191,221,235
"1095","U1924","APA12PACb",-79.4335656,41.5357614,248,278,104,130,161,163,207,207,183,195,327,339,183,197,235,237
"1096","U1930","APA12PACb",-79.4362788,41.5350957,248,254,124,124,163,171,207,207,171,183,331,343,183,187,237,241
"1097","U1931","APA12PACb",-79.4362002,41.5348785,248,254,104,124,159,171,203,207,171,171,333,343,181,183,221,235
"1100","U1934","APA12PACb",-79.4360249,41.5341916,248,286,120,120,161,177,203,217,185,187,339,339,177,183,221,227
"1101","U1935","APA12PACb",-79.4360262,41.5341376,276,282,104,128,161,167,203,217,185,185,333,333,187,191,221,227
"1104","U1938","APA12PACb",-79.4357922,41.5339002,260,280,104,128,163,167,207,211,171,171,333,343,181,187,229,235
"1105","U1939","APA12PACb",-79.4359011,41.5338566,248,280,122,128,163,171,201,207,171,187,341,343,169,189,221,221
"1107","U1950","APA12PACb",-79.2615604,41.8315544,256,256,115,115,171,171,201,207,181,185,329,333,169,187,227,235
"1108","U1951","APA12PACb",-79.2621681,41.8313474,256,280,124,136,163,165,207,217,179,189,331,333,169,175,221,227
"1109","U1953","APA12PACb",-79.2624792,41.8309738,262,278,124,124,169,175,207,207,171,185,333,339,169,183,221,235
"1110","U1954","APA12PACb",-79.2622741,41.8309888,256,262,124,130,161,163,203,207,171,185,331,335,169,169,221,223
"1111","U2044","APA12PACb",-79.2151435,41.5932839,248,254,128,134,171,171,205,217,179,189,337,339,173,181,225,235
"1114","U2047","APA12PACb",-79.2123435,41.5938798,254,276,128,136,147,157,199,207,189,189,333,341,183,191,233,235
"1115","U2048","APA12PACb",-79.2134036,41.5937252,260,286,132,132,165,173,199,209,171,183,333,333,183,183,229,239
"1117","U2050","APA12PACb",-79.2131943,41.5939201,248,260,120,122,157,161,199,209,179,185,337,339,169,181,235,237
"1118","U2051","APA12PACb",-79.2135536,41.5939437,254,254,120,134,163,171,199,199,171,177,333,337,183,187,235,237
"1121","U2057","APA12PACb",-79.4355994,41.5369239,280,282,104,124,167,173,203,205,185,193,333,339,169,183,237,237
"1122","U2058","APA12PACb",-79.4359363,41.5368745,248,282,124,136,163,163,203,205,185,187,331,331,173,191,235,235
"1123","U2059","APA12PACb",-79.436765,41.5373091,282,284,104,122,159,167,203,203,181,193,331,331,169,187,221,221
"1125","U2061","APA12PACb",-79.4362935,41.5374738,272,280,128,130,163,169,199,207,185,187,327,339,183,183,221,221
"1126","U2062","APA12PACb",-79.4367914,41.5377057,262,272,130,132,163,163,199,205,171,187,333,333,169,189,235,235
"1127","U2063","APA12PACb",-79.4368365,41.5378234,248,272,124,130,159,167,199,203,171,187,333,339,169,183,221,221
"1128","U2064","APA12PACb",-79.4373531,41.5392716,248,254,130,130,163,177,199,217,171,185,333,339,187,189,221,235
"1129","U2065","APA12PACb",-79.4374751,41.5396785,258,258,104,136,159,171,207,207,185,187,333,335,169,191,235,235
"1131","U2067","APA12PACb",-79.4363042,41.5320517,248,268,104,124,161,163,205,217,171,177,333,339,169,169,237,237
"1132","U2068","APA12PACb",-79.4362188,41.5321136,254,268,120,124,161,163,207,207,177,177,333,333,169,181,221,237
"1134","U2070","APA12PACb",-79.4362395,41.532249,268,288,124,128,163,165,207,211,177,187,333,343,187,191,221,237
"1139","U2076","APA12PACb",-79.4363407,41.533025,268,280,128,128,157,163,199,207,171,177,341,343,169,183,221,235
"1140","U2077","APA12PACb",-79.4363769,41.5330165,248,280,122,124,163,171,199,203,171,189,333,343,183,189,221,237
"1150","U2089","APA12PACb",-79.2875342,41.7932077,276,284,104,124,161,175,199,205,177,187,333,335,179,183,235,235
"1151","U2090","APA12PACb",-79.287405,41.7930886,248,276,122,124,161,165,203,205,171,181,335,343,183,187,221,235
"1156","U2113","APA12PACb",-79.071819,41.3544756,248,276,130,130,165,165,207,209,179,187,331,335,191,193,243,243
"1157","U2114","APA12PACb",-79.0718025,41.3542231,248,266,104,130,165,173,209,213,179,183,335,339,187,193,221,235
