"","Ind","Pop","Longitude","Latitude","B114_1","B114_2","B159__1","B159_2","WGA_1","WGA_2","A5_1","A5_2","B157_1","B157_2","B212_1","B212_2","B121_1","B121_2","B147_1","B147_2","B249_1","B249_2","B262_1","B262_2","B264_1","B264_2"
"310","C4901","1014",-65.32207,46.01352,272,276,104,104,163,181,203,207,169,169,236,237,177,179,333,341,185,185,317,340,239,239
"312","C4903","1014",-65.32246,46.01182,276,280,104,122,165,179,207,207,157,169,0,0,177,177,333,339,169,187,317,342,221,227
"313","C4904","1014",-65.32277,46.01175,276,280,104,104,165,167,195,203,157,167,217,217,177,179,333,341,185,187,317,338,221,239
"316","C3263","1014",-66.12552,45.46955,260,276,128,132,163,175,205,219,160,166,227,239,183,193,327,339,183,183,317,317,221,239
"317","C3271","1014",-66.12552,45.46955,260,280,120,128,165,167,217,219,160,166,205,221,177,183,327,329,183,185,317,336,239,239
"318","C3272","1014",-66.12552,45.46955,276,280,128,128,167,177,209,217,160,166,241,261,170,177,329,333,169,169,315,318,221,235
"319","C3276","1014",-66.12552,45.46955,258,282,104,104,167,175,207,209,156,166,215,215,181,185,329,339,169,191,317,325,221,227
"320","C3280","1014",-66.12552,45.46955,258,276,124,130,163,163,205,217,166,166,221,229,183,189,0,0,183,189,315,340,235,239
"322","C3305","1014",-66.12552,45.46955,248,258,124,128,163,175,217,217,164,166,243,261,177,177,329,339,0,0,317,336,239,239
"324","C3324","1014",-66.12552,45.46955,248,248,136,136,163,163,203,205,166,166,261,261,179,189,329,337,189,189,317,317,235,239
"327","C3329","1014",-66.12552,45.46955,256,276,130,136,163,175,203,205,166,168,229,239,183,193,333,339,183,193,315,317,235,239
"330","C3336","1014",-66.12552,45.46955,248,280,104,128,163,167,203,217,160,166,241,261,170,177,333,339,169,183,318,340,235,235
"332","C3341","1014",-66.12552,45.46955,0,0,124,132,0,0,209,217,166,168,217,227,177,183,327,333,183,193,315,340,221,235
"335","C3409","1014",-66.12552,45.46955,248,254,130,132,161,187,205,211,160,166,217,259,177,177,0,0,181,183,0,0,221,221
"338","C3168","1014",-65.3194,46.01412,276,276,104,122,165,179,203,207,166,166,259,263,177,177,339,341,169,169,317,325,0,0
"339","C3170","1014",-65.31957,46.01388,254,276,104,104,155,167,207,207,166,166,217,239,179,183,333,333,185,191,317,317,221,239
"341","C3214","1014",-65.3193,46.0138,248,272,106,122,0,0,215,215,156,166,215,215,177,179,0,0,185,187,317,334,239,239
"343","C3227","1014",-65.31953,46.01322,272,278,104,122,167,179,203,203,156,166,237,263,177,183,333,339,187,191,325,336,227,239
"344","C3228","1014",-65.32067,46.01323,248,256,104,122,159,177,199,211,166,166,215,217,177,183,329,341,169,181,317,325,237,237
"347","C3278","1014",-65.31948,46.01305,278,280,104,124,173,177,193,203,166,166,259,263,177,181,339,341,187,187,326,330,235,243
"348","C3279","1014",-65.32083,46.01393,252,280,104,130,155,173,193,203,166,166,213,239,170,177,333,339,187,191,336,348,221,239
"351","C3321","1014",-65.32025,46.01272,278,280,104,104,177,179,193,205,156,158,259,263,177,181,333,341,181,181,326,330,227,227
"352","C3322","1014",-65.31948,46.01323,262,278,104,130,159,171,193,203,166,166,213,217,177,181,339,341,187,189,317,338,223,223
"357","C3303","1014",-65.90413,45.50905,248,280,130,130,163,163,205,207,156,166,257,259,177,185,333,333,185,187,317,325,235,235
"358","C3317","1014",-65.90372,45.50978,248,248,130,132,163,171,203,205,164,166,225,259,177,183,333,333,181,187,315,336,239,239
"363","C3376","1014",-65.91717,45.50238,248,276,124,124,163,177,203,203,160,160,245,255,177,185,0,0,187,189,315,317,221,237
"366","C3401","1014",-65.90112,45.51218,258,280,104,128,175,177,203,205,164,166,215,253,177,193,333,339,181,189,336,340,235,235
"370","C3203","1014",-65.44897,45.69917,254,290,122,128,0,0,199,209,156,160,217,241,177,177,333,333,185,189,318,346,221,221
"371","C3245","1014",-65.44883,45.69812,254,278,128,128,161,175,207,207,166,166,217,235,170,179,327,339,189,189,340,350,221,235
"374","C3302","1014",-65.44983,45.69878,276,276,104,124,161,163,205,207,160,164,213,227,170,177,327,333,187,189,317,326,225,227
"375","C3307","1014",-65.44868,45.69893,248,248,122,130,171,175,207,211,160,168,219,227,179,187,327,341,183,183,340,340,225,239
"376","C3310","1014",-65.4426,45.69753,256,274,120,130,163,165,203,203,156,166,213,227,170,185,339,341,185,189,325,340,225,227
"377","C3312","1014",-65.446,45.69767,254,276,128,130,165,165,207,211,160,166,217,239,177,187,339,341,0,0,317,318,231,239
"379","C3345","1014",-65.44327,45.69808,254,280,130,130,163,163,203,209,156,160,227,239,177,187,327,341,169,185,317,325,221,225
"380","C3362","1014",-65.44008,45.69513,248,274,104,128,165,167,203,207,156,166,219,231,170,177,333,333,169,189,340,340,221,227
"381","C3371","1014",-65.44152,45.69785,280,282,104,130,171,177,203,207,160,160,219,227,170,179,327,333,183,191,318,330,225,225
"382","C3372","1014",-65.44195,45.69697,248,280,122,128,163,171,203,211,160,160,227,239,177,187,333,341,183,183,325,326,221,225
"387","C3417","1014",-65.44623,45.698,254,282,122,130,171,177,203,209,164,168,219,231,170,177,327,333,189,191,317,346,221,229
"388","C4569","7917",-67.77381,46.11324,256,256,0,0,165,175,207,211,167,167,205,240,171,179,333,343,183,191,315,315,235,235
"389","C4570","7917",-67.77499,46.11107,248,248,0,0,155,163,205,211,167,167,241,241,171,179,333,343,179,187,317,340,239,239
"390","C4571","7917",-67.7771,46.11139,254,282,0,0,163,175,211,217,158,167,217,241,177,181,333,339,169,187,317,317,237,237
"392","C4573","7917",-67.78116,46.1117,272,272,0,0,163,171,205,211,158,164,233,241,177,177,327,333,169,183,315,340,229,237
