"","ID","TaxonName","DataSet","Longitude","Latitude"
"2475","3131830010661","Juglans cinerea","FIA","-89.37","37.62"
"2476","3150141010661","Juglans cinerea","FIA","-89.44","38.01"
"2477","3154669010661","Juglans cinerea","FIA","-89.82","38.17"
"2478","3165388010661","Juglans cinerea","FIA","-88.02","37.98"
"2479","3113948010661","Juglans cinerea","FIA","-89.55","38.85"
"2480","3113953010661","Juglans cinerea","FIA","-89.55","38.85"
"2481","3118882010661","Juglans cinerea","FIA","-88.31","38.65"
"2482","3123070010661","Juglans cinerea","FIA","-88.63","38.92"
"2483","3132786010661","Juglans cinerea","FIA","-88.17","39.17"
"2484","3132791010661","Juglans cinerea","FIA","-88.17","39.17"
"2485","3132798010661","Juglans cinerea","FIA","-88.17","39.17"
"2486","3142860010661","Juglans cinerea","FIA","-89.88","39.24"
"2487","3142861010661","Juglans cinerea","FIA","-89.88","39.24"
"2488","3125193010661","Juglans cinerea","FIA","-90.13","40.66"
"2489","3125264010661","Juglans cinerea","FIA","-90.01","40.63"
"2490","3129794010661","Juglans cinerea","FIA","-91.05","40.65"
"2491","3129795010661","Juglans cinerea","FIA","-91.05","40.65"
"2492","3134773010661","Juglans cinerea","FIA","-90.28","42.41"
"2493","3148944010661","Juglans cinerea","FIA","-89.44","41.94"
"2494","3151155010661","Juglans cinerea","FIA","-90.78","39.74"
"2495","3151603010661","Juglans cinerea","FIA","-91.05","39.55"
"2496","3168089010661","Juglans cinerea","FIA","-89.15","40.64"
"2497","3168110010661","Juglans cinerea","FIA","-89.15","40.64"
"2498","3168120010661","Juglans cinerea","FIA","-89.15","40.64"
"2499","3168123010661","Juglans cinerea","FIA","-89.15","40.64"
"2500","3196925010661","Juglans cinerea","FIA","-88.22","37.47"
"2501","3199379010661","Juglans cinerea","FIA","-89.64","37.86"
"2502","3199427010661","Juglans cinerea","FIA","-89.64","37.86"
"2503","3200535010661","Juglans cinerea","FIA","-89.36","37.61"
"2504","3230917010661","Juglans cinerea","FIA","-89.44","38"
"2505","3256812010661","Juglans cinerea","FIA","-88.03","37.97"
"2506","3171462010661","Juglans cinerea","FIA","-89.56","38.86"
"2507","3171467010661","Juglans cinerea","FIA","-89.56","38.86"
"2508","3171554010661","Juglans cinerea","FIA","-89.28","38.89"
"2509","3174123010661","Juglans cinerea","FIA","-90.64","39.31"
"2510","3179495010661","Juglans cinerea","FIA","-88.31","38.64"
"2511","3185831010661","Juglans cinerea","FIA","-88.64","38.92"
"2512","3205667010661","Juglans cinerea","FIA","-90.47","39.08"
"2513","3218716010661","Juglans cinerea","FIA","-89.89","39.25"
"2514","3218714010661","Juglans cinerea","FIA","-89.89","39.25"
"2515","3218720010661","Juglans cinerea","FIA","-89.89","39.25"
"2516","3218721010661","Juglans cinerea","FIA","-89.89","39.25"
"2517","3218723010661","Juglans cinerea","FIA","-89.89","39.25"
"2518","3218724010661","Juglans cinerea","FIA","-89.89","39.25"
"2519","3218743010661","Juglans cinerea","FIA","-89.89","39.25"
"2520","3218745010661","Juglans cinerea","FIA","-89.89","39.25"
"2521","3226849010661","Juglans cinerea","FIA","-89.5","39.14"
"2522","3226850010661","Juglans cinerea","FIA","-89.5","39.14"
"2523","3189011010661","Juglans cinerea","FIA","-90.14","40.67"
"2524","3189109010661","Juglans cinerea","FIA","-90.06","40.69"
"2525","3189134010661","Juglans cinerea","FIA","-90","40.64"
"2526","3197618010661","Juglans cinerea","FIA","-91.06","40.64"
"2527","3197737010661","Juglans cinerea","FIA","-90.19","41.53"
"2528","3197766010661","Juglans cinerea","FIA","-90.19","41.53"
"2529","3206612010661","Juglans cinerea","FIA","-90.28","42.42"
"2530","3206785010661","Juglans cinerea","FIA","-90.06","42.44"
"2531","3228917010661","Juglans cinerea","FIA","-89.44","41.94"
"2532","3231921010661","Juglans cinerea","FIA","-91.11","39.72"
"2533","3232429010661","Juglans cinerea","FIA","-90.78","39.72"
"2534","3233051010661","Juglans cinerea","FIA","-91.06","39.56"
"2535","3248337010661","Juglans cinerea","FIA","-89.81","42.44"
"2536","3248339010661","Juglans cinerea","FIA","-89.81","42.44"
"2537","3248340010661","Juglans cinerea","FIA","-89.81","42.44"
"2538","3248341010661","Juglans cinerea","FIA","-89.81","42.44"
"2539","3248342010661","Juglans cinerea","FIA","-89.81","42.44"
"2540","3248344010661","Juglans cinerea","FIA","-89.81","42.44"
"2541","3248345010661","Juglans cinerea","FIA","-89.81","42.44"
"2542","3248380010661","Juglans cinerea","FIA","-89.81","42.44"
"2543","3248389010661","Juglans cinerea","FIA","-89.81","42.44"
"2544","3248390010661","Juglans cinerea","FIA","-89.81","42.44"
"2545","3248392010661","Juglans cinerea","FIA","-89.81","42.44"
"2546","3248393010661","Juglans cinerea","FIA","-89.81","42.44"
"2547","3261028010661","Juglans cinerea","FIA","-89.14","40.64"
"2548","3261044010661","Juglans cinerea","FIA","-89.14","40.64"
"2549","3261049010661","Juglans cinerea","FIA","-89.14","40.64"
"2550","3261050010661","Juglans cinerea","FIA","-89.14","40.64"
"2551","66968661010661","Juglans cinerea","FIA","-89.143031","39.129576"
"2552","70019722010661","Juglans cinerea","FIA","-90.668214","39.355564"
"2553","70017684010661","Juglans cinerea","FIA","-90.187942","41.528187"
"2554","70001161010661","Juglans cinerea","FIA","-90.039606","42.443866"
"2555","96298212010661","Juglans cinerea","FIA","-88.317508","38.652274"
"2556","96298228010661","Juglans cinerea","FIA","-88.317508","38.652274"
"2557","96321672010661","Juglans cinerea","FIA","-87.777936","38.740534"
